City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
396,turan,16.0678,108.2208,301.14,83,40,1.03,VN,1681742332
397,kodiak,57.79,-152.4072,271.88,51,20,7.72,US,1681742509
398,sarkand,45.41,79.9186,281.12,65,100,4.69,KZ,1681742510
399,evensk,61.95,159.2333,271.32,94,100,9.02,RU,1681742511
400,half moon bay,37.4636,-122.4286,284.07,85,75,8.75,US,1681742512
401,tuy hoa,13.0833,109.3,297.89,86,27,1.94,VN,1681742513
402,broome,42.2506,-75.833,281.98,84,100,2.06,US,1681742514
403,lidkoping,58.5052,13.1577,286.71,37,9,3.05,SE,1681742515
404,kviteseid,59.4022,8.4927,287.57,71,98,1.09,NO,1681742515
405,inuvik,68.3499,-133.7218,257.71,82,100,5.66,CA,1681742516
406,avera,33.194,-82.5271,290.12,43,61,6.25,US,1681742518
407,balkanabat,39.5108,54.3671,289.08,15,7,5.62,TM,1681742518
408,itaituba,-4.2761,-55.9836,303.24,74,40,0.0,BR,1681742315
409,edd,13.9297,41.6925,307.22,43,8,11.24,ER,1681742520
410,nipawin,53.3668,-104.0009,276.17,75,0,5.66,CA,1681742522
411,grong,64.4654,12.3149,285.75,80,72,1.54,NO,1681742522
412,aksu,41.1231,80.2644,293.38,24,72,2.78,CN,1681742356
413,guerrero negro,27.9769,-114.0611,287.87,75,80,6.65,MX,1681742524
414,kaabong,3.4836,34.1492,296.65,58,100,4.84,UG,1681742524
415,mbandaka,0.0487,18.2603,300.59,68,75,0.84,CD,1681742525
416,iturama,-19.7281,-50.1956,302.03,60,0,3.11,BR,1681742323
417,iquique,-20.2208,-70.1431,294.17,69,76,2.4,CL,1681742527
418,tura,25.5198,90.2201,301.85,23,0,2.12,IN,1681742528
419,tanabe,33.7333,135.3667,283.75,71,2,1.81,JP,1681742529
420,arman,59.7,150.1667,267.05,79,79,4.37,RU,1681742530
421,palmerston,-12.486,130.9833,298.14,76,99,2.57,AU,1681742314
422,wum,6.3833,10.0667,301.67,48,75,0.86,CM,1681742531
423,beringovskiy,63.05,179.3167,264.46,98,100,1.75,RU,1681742532
424,erenhot,43.6475,111.9767,283.04,19,0,6.57,CN,1681742532
425,ballina,-28.8667,153.5667,291.36,70,64,6.47,AU,1681742533
426,ambilobe,-13.2,49.05,298.51,84,41,0.22,MG,1681742534
427,krasnoselkup,65.7,82.4667,258.31,96,100,2.66,RU,1681742535
428,along,28.1667,94.7667,296.27,55,55,1.11,IN,1681742535
429,peleduy,59.6289,112.7406,262.0,97,95,1.12,RU,1681742537
430,petropavlovsk-kamchatskiy,53.0452,158.6483,273.48,100,100,1.0,RU,1681742538
431,ellensburg,46.9965,-120.5479,274.13,80,0,3.6,US,1681742459
432,san pedro,14.35,121.0167,301.72,80,20,2.06,PH,1681742540
433,leningradskiy,69.3833,178.4167,251.73,86,27,2.66,RU,1681742541
434,salinopolis,-0.6136,-47.3561,300.72,82,96,1.8,BR,1681742543
435,storsteinnes,69.2408,19.2344,277.51,100,100,1.8,NO,1681742544
436,namibe,-15.1961,12.1522,299.06,73,65,5.89,AO,1681742545
437,hami,42.8,93.45,295.22,21,5,3.21,CN,1681742546
438,meulaboh,4.1363,96.1285,299.93,82,48,0.33,ID,1681742551
439,baoqing,46.3317,132.2111,278.08,39,76,2.61,CN,1681742552
440,la primavera,5.4906,-70.4092,297.14,90,100,2.53,CO,1681742552
441,padang,-0.9492,100.3543,300.18,87,43,1.18,ID,1681742553
442,ishigaki,24.3448,124.1572,296.22,88,20,3.6,JP,1681742554
443,talnakh,69.4865,88.3972,259.38,91,100,1.0,RU,1681742554
444,cabedelo,-6.9811,-34.8339,303.52,74,97,4.0,BR,1681742555
445,rantepao,-2.9701,119.8978,293.43,99,100,0.93,ID,1681742556
446,okhotsk,59.3833,143.3,264.62,94,15,2.79,RU,1681742557
447,benguela,-12.5763,13.4055,302.14,72,82,4.02,AO,1681742558
448,pahrump,36.2083,-115.9839,291.07,31,18,3.58,US,1681742446
449,oudtshoorn,-33.5907,22.2014,293.35,19,3,3.93,ZA,1681742559
450,xining,36.6167,101.7667,285.63,34,41,7.32,CN,1681742352
451,sibolga,1.7427,98.7792,298.9,90,92,1.1,ID,1681742560
452,dubai,25.2582,55.3047,299.31,50,0,5.14,AE,1681742140
453,labuan,5.2767,115.2417,300.35,89,20,0.51,MY,1681742561
454,sambava,-14.2667,50.1667,299.24,84,10,6.39,MG,1681742561
455,arlit,18.7369,7.3853,312.84,6,1,7.42,NE,1681742563
456,hamilton,39.1834,-84.5333,280.78,65,100,8.75,US,1681742333
457,ponta delgada,37.7333,-25.6667,289.55,67,40,6.17,PT,1681742567
458,thabazimbi,-24.5917,27.4116,298.82,24,0,1.97,ZA,1681742568
459,aktash,50.3,87.7333,267.17,78,63,4.58,RU,1681742570
460,puerto del rosario,28.5004,-13.8627,298.01,44,20,8.23,ES,1681742571
461,maneadero,31.7167,-116.5667,285.43,81,32,0.89,MX,1681742573
462,tiquisio,8.5597,-74.2669,300.11,80,99,0.84,CO,1681742574
463,richards bay,-28.783,32.0377,298.04,69,5,5.53,ZA,1681742574
464,lemgo,52.0333,8.9,288.74,54,89,2.24,DE,1681742575
465,galle,6.0367,80.217,301.3,70,11,0.78,LK,1681742576
466,bontang,0.1333,117.5,301.03,80,100,2.39,ID,1681742577
467,zhuhai,22.2769,113.5678,300.85,94,40,3.09,CN,1681742580
468,ojinaga,29.5667,-104.4167,293.94,37,0,4.12,MX,1681742581
469,borogontsy,62.6683,131.1683,272.33,96,99,3.09,RU,1681742582
470,dorogobuzh,54.915,33.2972,282.36,73,100,1.36,RU,1681742582
471,sanghar,26.0466,68.9481,306.69,25,14,9.84,PK,1681742553
472,russell,32.3502,-85.1999,290.04,35,0,4.52,US,1681742583
473,belogorsk,50.9158,128.4611,281.21,40,100,6.46,RU,1681742584
474,syracuse,37.0881,15.2792,289.92,64,47,5.99,IT,1681742585
475,sistranda,63.7256,8.834,287.13,66,35,2.3,NO,1681742586
476,iberia,29.9502,-91.7507,291.53,59,0,2.06,US,1681742586
477,bodden town,19.2833,-81.25,301.47,77,20,1.79,KY,1681742587
478,trairi,-3.2778,-39.2689,303.17,67,64,3.68,BR,1681742412
479,astana,51.1801,71.446,270.12,63,75,6.0,KZ,1681742352
480,sumalig,7.9986,123.6627,297.61,87,86,1.16,PH,1681742589
481,zhezkazgan,47.8043,67.7144,275.14,48,40,5.0,KZ,1681742590
